ID,案件名稱,案件首圖,物件地址,售價(萬),總坪數,類型,樓層,總樓層,格局,網頁連結,比對地址,查地址,查戶籍,戶籍地址,是否已委託,更新時間,物件緯度,物件經度,戶籍緯度,戶籍經度
2371906,永平學區電梯2室+車位,https://img.hbhousing.com.tw/pictures/A182%2fA182OS222804a.jpg?1777100153,新北市永和區中山路一段,1980,29.47,電梯,4,12,2房2廳1衛,https://www.hbhousing.com.tw/detail/?sn=OS222804,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2371906,永和區中山路一段１０６號四樓之二(多筆),,,Y,2026-04-25 18:36,25.010603012056,121.510942010913,,
3434463,永安捷運｜次高樓景觀戶｜新婚2房🔥怡蓁,https://app.chyi.com.tw/images/sell/115/128511R_obj_1024_17766755375792.jpg?Rnd=244,新北市永和區永和路一段,1880,18.22,電梯,22,23,2房2廳1衛,https://buy.houseprice.tw/house/30233437_281479/,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3434463,永和區永和路一段７２巷３１號二十二樓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F33185104168000?HostId=2&A10OnLineId=3434463,新北市板橋區柏翠里１４鄰華江一路８６號五樓,Y,2026-04-26 14:47,25.005963000006,121.512885019888,25.035612176768,121.475227435266
3434688,尊榮天琴河岸美景3房車位-饒庭華太平洋房屋,https://image.houseprice.tw/p1-hpimage/MTA3NzEwMzJocGltYWdl/fcd87c43046f4df5_1478x1108.jpg,新北市永和區環河東路四段,4680,70.85,車位,10,28,3房2廳2衛,https://buy.houseprice.tw/house/33913531_298991/,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3434688,永和區環河東路四段１０號十樓(疑似),,,Y,2026-04-25 18:36,25.000176385511,121.52884190042,,
2642156,近永安捷運邊間2+1小資宅🍀住商淑韻,"https://image.houseprice.tw/p1-hpimage/OTcxNzY4MWhwaW1hZ2U,/00bc7043b3004beb_1477x1108.jpg",新北市永和區中和路,1198,15.7,公寓,2,5,3房1廳1衛,https://buy.houseprice.tw/house/33333732_302192/,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=2642156,永和區中和路３０５巷２弄１號二樓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F33185204593000?HostId=2&A10OnLineId=2642156,新北市永和區中和路305巷2弄1號二樓,Y,2026-04-25 18:36,25.000077741542,121.506772573753,25.000087998342,121.506767990769
3434661,凱旋臻品✔️樂華夜市✔️永安大三房+車⭐住商小嫺,https://image.houseprice.tw/p1-hpimage/MTA3Njg1MjVocGltYWdl/cfda49f7fcff4efc_1920x1440.jpg,新北市永和區永貞路,3568,60.17,電梯,5,14,3房2廳2衛,https://buy.houseprice.tw/house/34744130_1093796/,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3434661,永和區永貞路３６２號五樓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F33184904450000?HostId=2&A10OnLineId=3434661,新北市永和區永貞路362號五樓,Y,2026-04-26 14:47,25.006712006874,121.510139024588,25.006712006874,121.510139024588
3434504,秀朗橋捷運住辦一樓,https://image.houseprice.tw/p1-hpimage/MTA3Njk2NDhocGltYWdl/b10f1226ca8f425f_1024x768.jpg,新北市永和區成功路二段,1750,28.1,電梯,1,5,1房2廳1衛,https://buy.houseprice.tw/house/34578833_1101155/,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3434504,永和區成功路二段２０１巷１１號,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F33185603365000?HostId=2&A10OnLineId=3434504,桃園縣大溪鎮福安里１鄰頭寮店仔２４之４號,N,2026-04-25 18:36,24.996240998151,121.527030990239,,
3434698,【秀朗晶悅】永和唯一釋出！頂層含露臺樓中樓83坪,https://img1.591.com.tw/house/2026/03/15/177356635803326007.jpg!x.water2.jpg,新北市永和區秀朗路一段,5288,83.0,電梯,12,13,4房3廳3衛,https://buy.houseprice.tw/house/30526257_281479/,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3434698,永和區秀朗路一段２２０巷７號十二樓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F33182404127000?HostId=2&A10OnLineId=3434698,新北市永和區福和路９４號三樓,N,2026-04-25 18:36,25.002818990034,121.520221029185,25.008116017565,121.522463020646
3434355,成功大第兩房 方正格局空間規劃 北市一橋之隔,https://cloudfps.hfcdn.com/v1/image/?key=NF58Ko5oaCuk14adcewfngbfCosY990edTQX9ml1iw5m36ciGxl3EOdpIqaEWonuqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuvuDE3ieU7m7vt1GEps7FWGRbvllj1fnybJxPB_eh0mibn_xuG2pFwFKIji3F260JKXlXonUpj8okaO5NrdDOIQ&width=1024&height=768,新北市永和區成功路二段,2198,38.64,電梯,8,15,2房1廳1衛,https://buy.housefun.com.tw/buy/house/6925841,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3434355,永和區成功路二段７９號八樓(多筆),,,N,2026-04-25 18:36,24.999611487146,121.526835608076,,
3434369,頂溪竹林苑三房車 屋齡新 靜巷內 三面採光 ,https://cloudfps.hfcdn.com/v1/image/?key=NF58Ko5oaCuYSA1vcuDP6ELgzVy-cqwo2lVXdoOw6Fqx0FSF9-AVkBsLPaBB2FWaqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuvuDE3ieU7m7vt1GEps7FWGRbvllj1fnybJxPB_eh0mibn_xuG2pFwFKIji3F260JKXlXonUpj8okaO5NrdDOIQ&width=1024&height=768,新北市永和區竹林路,3980,47.99,電梯,6,9,3房2廳2衛,https://buy.housefun.com.tw/buy/house/6539170,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=3434369,永和區竹林路７５巷１７號六樓,https://app.houseflow.tw/HOUSE/Transcript/BuildingDialog/F33182602812000?HostId=2&A10OnLineId=3434369,臺北市中正區建國里６鄰衡陽路１０８號二樓之七,N,2026-04-25 18:36,25.013899111661,121.519794725589,25.042118087896,121.510024443972
1346013,頂溪信義路正店面,https://img.hbhousing.com.tw/pictures/A310%2fA310OS191122a.jpg?1777086721,新北市永和區信義路,2480,21.86,店面,1,0,0房0廳1衛,https://www.hbhousing.com.tw/detail/?sn=OS191122,https://app.houseflow.tw/HOUSE/ExploreHouseNew?A10OnLineId=1346013,永和區信義路１０９號(多筆),,,N,2026-04-25 18:36,25.014650004457,121.512141964171,,
